Input,Expected SQL,Predicted SQL
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
"Лунные затмения и астрономические обсерватории, наблюдавшие лунные затмения","SELECT lunar_eclipse_id, observatory_id FROM LunarEclipses le JOIN Observatories obs ON le.eclipse_id=obs.eclipse_id WHERE visibility > 70%;",SELECT ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
Вывести подразделение всех сотрудников.,SELECT подразделение FROM Сотрудники;,SELECT подразделение FROM Сотрудники;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
Крупнейшие экспортируемые товары страны и экспортные пошлины на них,"SELECT export_good_id, export_duty FROM ExportGoods eg JOIN ExportDuties ed ON eg.good_id=ed.good_id WHERE export_volume > (SELECT AVG(export_volume) FROM ExportVolume);","SELECT e.equiment_id, e.equiment_id, e.equiment_id, e.equiment_id, e.equiment_id, e.equiment"
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать публикации за 2007 год.,SELECT * FROM Научные_работы WHERE год = 2007;,SELECT * FROM Научные_работы WHERE год = 2007;
