text,sql
"Список всех сотрудников","SELECT * FROM Сотрудники"
"Показать всех профессоров","SELECT * FROM Сотрудники WHERE должность LIKE '%Профессор%'"
"Какие научные работы опубликовал Иванов","SELECT * FROM Научные_работы WHERE автор LIKE '%Иванов%'"
"Научные статьи за 2022 год","SELECT * FROM Научные_работы WHERE год = 2022"
"Показать все научные работы","SELECT * FROM Научные_работы"
"Сотрудники из института физики","SELECT * FROM Сотрудники WHERE подразделение LIKE '%физики%'"
"Покажи всех сотрудников","SELECT * FROM Сотрудники"
"Список научных работ","SELECT * FROM Научные_работы"
"Какие научные работы опубликовал Иванов","SELECT * FROM Научные_работы WHERE автор LIKE '%Иванов%'"
"Покажи статьи Иванова","SELECT * FROM Научные_работы WHERE автор LIKE '%Иванов%'"
"Все публикации за 2022 год","SELECT * FROM Научные_работы WHERE год = 2022"
"Сотрудники института химии","SELECT * FROM Сотрудники WHERE подразделение LIKE '%химии%'"
"Профессора института строительства","SELECT * FROM Сотрудники WHERE подразделение LIKE '%строительства%' AND должность LIKE '%Профессор%'"
"Кто работает в институте экономики","SELECT * FROM Сотрудники WHERE подразделение LIKE '%экономики%'"
"Сотрудники с ученой степенью кандидата наук","SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук'"
"Доценты","SELECT * FROM Сотрудники WHERE должность LIKE '%Доцент%'"
"Научные статьи по архитектуре","SELECT * FROM Научные_работы WHERE название LIKE '%архитектур%' OR второе_название LIKE '%архитектур%'"
"Публикации в Scopus","SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus'"
"Кто работает на полную ставку","SELECT * FROM Сотрудники WHERE количество_ставок = 1.0"
"Сотрудники младше 40 лет","SELECT * FROM Сотрудники WHERE возраст < 40"
"Покажи публикации в журнале 'Вестник математики'","SELECT * FROM Научные_работы WHERE название_журнала LIKE '%Вестник математики%'"
"Показать ФИО сотрудников и названия их научных работ","SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Вывести фамилии работников и названия проектов, над которыми они трудятся","SELECT Работники.Фамилия, Проекты.Название FROM Работники JOIN Проекты ON Работники.id = Проекты.ответственный_id;"
"Получить имена авторов и заголовки книг, написанных ими","SELECT Авторы.Имя, Книги.Заголовок FROM Авторы JOIN Книги ON Авторы.id = Книги.Автор_id;"
"Найти студентов и темы дипломных работ, выполненных ими","SELECT Студенты.ФИО, ДипломныеРаботы.Тема FROM Студенты JOIN ДипломныеРаботы ON Студенты.id = ДипломныеРаботы.Студент_id;"
"Выдать преподавателей и курсы, которые они ведут","SELECT Преподаватели.ФИО, Курсы.Название FROM Преподаватели JOIN Курсы ON Преподаватели.id = Курсы.Преподаватель_id;"
"Отобразить пациентов и диагнозы, поставленные врачами","SELECT Пациенты.ФИО, Диагнозы.Описание FROM Пациенты JOIN Диагнозы ON Пациенты.id = Диагнозы.Пациент_id;"
"Предоставьте имена покупателей и товары, приобретенные ими","SELECT Покупатели.Имя, Товары.Название FROM Покупатели JOIN Товары ON Покупатели.id = Товары.Покупатель_id;"
"Покажите сотрудников отдела продаж и сделки, заключённые ими","SELECT Сотрудник.ФИО, Сделка.ДатаЗаключения FROM Сотрудник JOIN Сделка ON Сотрудник.id = Сделка.Сотрудник_id;"
