text,sql
Вывести ФИО всех сотрудников.,SELECT ФИО FROM Сотрудники;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать сотрудников старше 35 лет.,SELECT * FROM Сотрудники WHERE возраст > 35;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Показать публикации за 2024 год.,SELECT * FROM Научные_работы WHERE год = 2024;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать значение поля ""второе_название"" для всех научных работ.",SELECT второе_название FROM Научные_работы;
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Список сотрудников из Институт химии.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать научные работы, опубликованные в журнале Химический журнал.",SELECT * FROM Научные_работы WHERE название_журнала = 'Химический журнал';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников старше 28 лет.,SELECT * FROM Сотрудники WHERE возраст > 28;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Показать сотрудников старше 49 лет.,SELECT * FROM Сотрудники WHERE возраст > 49;
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать публикации за 2013 год.,SELECT * FROM Научные_работы WHERE год = 2013;
"Показать значение поля ""ссылка"" для всех научных работ.",SELECT ссылка FROM Научные_работы;
Показать все научные работы.,SELECT * FROM Научные_работы;
